"Município";"IDHM 2010";"IDHM
Renda
2010";"IDHM Longevidade 2010";"IDHM Educação 2010";"Estado"
"Neves Paulista";0,754;0,737;0,823;0,707;"SP"
"Vera Cruz";0,754;0,722;0,83;0,715;"SP"
"Praia Grande";0,754;0,744;0,834;0,692;"SP"
"Cunhataí";0,754;0,777;0,886;0,623;"SC"
"Rodeio";0,754;0,769;0,889;0,626;"SC"
"Corumbataí";0,754;0,728;0,841;0,7;"SP"
"Lauro de Freitas";0,754;0,781;0,827;0,663;"BA"
"Chapadão do Sul";0,754;0,758;0,85;0,665;"MS"
"Constantina";0,754;0,726;0,885;0,668;"RS"
"Rio Verde";0,754;0,765;0,853;0,656;"GO"
"Registro";0,754;0,718;0,851;0,702;"SP"
"Flores da Cunha";0,754;0,786;0,849;0,642;"RS"
"Rancho Queimado";0,753;0,743;0,893;0,644;"SC"
"Ipeúna";0,753;0,737;0,845;0,685;"SP"
"Palmeira D'Oeste";0,753;0,72;0,829;0,714;"SP"
"Salvador das Missões";0,753;0,71;0,851;0,706;"RS"
"Monte Azul Paulista";0,753;0,733;0,843;0,69;"SP"
"Congonhas";0,753;0,732;0,877;0,665;"MG"
"Tarumã";0,753;0,738;0,852;0,68;"SP"
"Santo Anastácio";0,753;0,725;0,854;0,689;"SP"
"Magda";0,753;0,724;0,823;0,717;"SP"
"Três Fronteiras";0,753;0,71;0,829;0,726;"SP"
"Nilópolis";0,753;0,731;0,817;0,716;"RJ"
"Mangaratiba";0,753;0,746;0,845;0,676;"RJ"
"Novo Horizonte";0,753;0,741;0,865;0,665;"SP"
"Estação";0,753;0,752;0,843;0,674;"RS"
"Guaíra";0,753;0,759;0,824;0,683;"SP"
"Ajuricaba";0,753;0,763;0,85;0,658;"RS"
"Garopaba";0,753;0,737;0,868;0,668;"SC"
"Forquilhinha";0,753;0,754;0,861;0,657;"SC"
"João Neiva";0,753;0,751;0,857;0,663;"ES"
"Nicolau Vergueiro";0,753;0,772;0,839;0,66;"RS"
"Aracruz";0,752;0,717;0,838;0,707;"ES"
"Enéas Marques";0,752;0,767;0,835;0,664;"PR"
"Laguna";0,752;0,715;0,871;0,682;"SC"
"Marapoama";0,752;0,736;0,852;0,679;"SP"
"Araguaína";0,752;0,727;0,821;0,712;"TO"
"Monte Belo do Sul";0,752;0,752;0,852;0,663;"RS"
"Tatuí";0,752;0,734;0,842;0,688;"SP"
"Três Marias";0,752;0,706;0,866;0,695;"MG"
"Tunápolis";0,752;0,728;0,83;0,704;"SC"
"Severiano de Almeida";0,752;0,738;0,861;0,67;"RS"
"Itumbiara";0,752;0,744;0,838;0,682;"GO"
"Primavera do Leste";0,752;0,774;0,843;0,653;"MT"
"Westfalia";0,752;0,796;0,849;0,63;"RS"
"Pranchita";0,752;0,743;0,821;0,696;"PR"
"Xaxim";0,752;0,737;0,871;0,662;"SC"
"Boa Vista";0,752;0,737;0,816;0,708;"RR"
"Lucélia";0,752;0,728;0,841;0,695;"SP"
"Capinzal";0,752;0,742;0,869;0,659;"SC"
"Mandaguari";0,751;0,732;0,84;0,689;"PR"
"Guaxupé";0,751;0,729;0,88;0,659;"MG"
"Nhandeara";0,751;0,755;0,835;0,672;"SP"
"Cataguases";0,751;0,718;0,861;0,685;"MG"
"Pinhais";0,751;0,761;0,836;0,666;"PR"
"Foz do Iguaçu";0,751;0,748;0,858;0,661;"PR"
"Cambuí";0,751;0,722;0,872;0,674;"MG"
"Teresina";0,751;0,731;0,82;0,707;"PI"
"Indiaporã";0,751;0,714;0,835;0,71;"SP"
"Guarujá";0,751;0,729;0,854;0,679;"SP"
"Porto Ferreira";0,751;0,736;0,827;0,696;"SP"
"Rancharia";0,751;0,72;0,861;0,683;"SP"
"Guaraciaba";0,751;0,754;0,871;0,646;"SC"
"Guaramirim";0,751;0,748;0,885;0,641;"SC"
"Sales";0,751;0,708;0,859;0,697;"SP"
"Osório";0,751;0,769;0,853;0,646;"RS"
"Ubatuba";0,751;0,741;0,841;0,679;"SP"
"Turiúba";0,751;0,713;0,824;0,721;"SP"
"Américo Brasiliense";0,751;0,709;0,852;0,701;"SP"
"Sertão";0,751;0,746;0,837;0,678;"RS"
"Bastos";0,751;0,696;0,848;0,718;"SP"
"Planalto Alegre";0,751;0,731;0,881;0,659;"SC"
"Tapiratiba";0,751;0,703;0,87;0,692;"SP"
"Catiguá";0,751;0,734;0,852;0,676;"SP"
"Mirandópolis";0,751;0,732;0,869;0,665;"SP"
"Paranaguá";0,75;0,733;0,852;0,676;"PR"
"Canoas";0,75;0,768;0,864;0,636;"RS"
"Cruz Alta";0,75;0,754;0,858;0,653;"RS"
"Presidente Epitácio";0,75;0,714;0,845;0,7;"SP"
"Bariri";0,75;0,736;0,867;0,662;"SP"
"Bom Despacho";0,75;0,742;0,861;0,661;"MG"
"Campo Verde";0,75;0,755;0,834;0,67;"MT"
"Água Santa";0,75;0,84;0,85;0,59;"RS"
"Capivari";0,75;0,744;0,848;0,669;"SP"
"São João do Pau D'Alho";0,75;0,714;0,854;0,692;"SP"
"Feliz";0,75;0,758;0,847;0,658;"RS"
"União Paulista";0,749;0,697;0,863;0,699;"SP"
"Campos do Jordão";0,749;0,761;0,852;0,648;"SP"
"Embu-Guaçu";0,749;0,713;0,834;0,708;"SP"
"Oscar Bressane";0,749;0,713;0,823;0,715;"SP"
"Betim";0,749;0,709;0,864;0,687;"MG"
"Laurentino";0,749;0,742;0,855;0,662;"SC"
"Linha Nova";0,749;0,751;0,846;0,662;"RS"
"Arcos";0,749;0,717;0,874;0,671;"MG"
"São Lourenço do Oeste";0,749;0,748;0,807;0,695;"SC"
"Terra Roxa";0,749;0,732;0,838;0,684;"SP"
"Antônio Carlos";0,749;0,768;0,89;0,615;"SC"
"Ipuã";0,749;0,759;0,848;0,654;"SP"
"Pareci Novo";0,749;0,738;0,852;0,668;"RS"
"Peruíbe";0,749;0,73;0,854;0,675;"SP"
"Rio Grande da Serra";0,749;0,684;0,823;0,745;"SP"
"Paraíso";0,749;0,751;0,837;0,668;"SP"
"Carapicuíba";0,749;0,721;0,842;0,693;"SP"
"Harmonia";0,749;0,748;0,841;0,668;"RS"
"Pirajuí";0,749;0,734;0,853;0,672;"SP"
"Xavantina";0,749;0,772;0,861;0,632;"SC"
"Artur Nogueira";0,749;0,745;0,827;0,681;"SP"
"São João de Iracema";0,748;0,682;0,833;0,738;"SP"
"Duartina";0,748;0,716;0,837;0,698;"SP"
"Tanabi";0,748;0,735;0,829;0,687;"SP"
"Ituporanga";0,748;0,749;0,876;0,638;"SC"
"Barra do Garças";0,748;0,738;0,817;0,693;"MT"
"Mondaí";0,748;0,728;0,875;0,657;"SC"
"Canela";0,748;0,738;0,849;0,667;"RS"
"Nova Trento";0,748;0,749;0,891;0,628;"SC"
"São João do Polêsine";0,748;0,748;0,847;0,661;"RS"
"Miraselva";0,748;0,694;0,854;0,707;"PR"
"Apucarana";0,748;0,741;0,845;0,668;"PR"
"Cafelândia";0,748;0,723;0,835;0,692;"PR"
"Cabedelo";0,748;0,782;0,822;0,651;"PB"
"Arapongas";0,748;0,751;0,834;0,669;"PR"
"Barão";0,748;0,767;0,836;0,652;"RS"
"Taquaritinga";0,748;0,727;0,827;0,696;"SP"
"Sananduva";0,747;0,764;0,843;0,647;"RS"
"Novo Hamburgo";0,747;0,778;0,852;0,629;"RS"
"Tucunduva";0,747;0,748;0,816;0,682;"RS"
"Pato Bragado";0,747;0,745;0,807;0,694;"PR"
"Condor";0,747;0,735;0,852;0,666;"RS"
"Astorga";0,747;0,754;0,818;0,675;"PR"
"Floreal";0,747;0,71;0,808;0,726;"SP"
"Dourados";0,747;0,753;0,843;0,657;"MS"
"Ibitinga";0,747;0,738;0,846;0,667;"SP"
"General Salgado";0,747;0,734;0,808;0,702;"SP"
"Cândido Mota";0,747;0,701;0,845;0,704;"SP"
"São José do Inhacorá";0,747;0,723;0,822;0,702;"RS"
"Sud Mennucci";0,747;0,743;0,809;0,694;"SP"
"Jandaia do Sul";0,747;0,741;0,801;0,703;"PR"
"Confins";0,747;0,706;0,83;0,711;"MG"
"Potirendaba";0,747;0,737;0,857;0,661;"SP"
"Iturama";0,747;0,73;0,848;0,674;"MG"
"Cordilheira Alta";0,747;0,735;0,855;0,662;"SC"
"Ouvidor";0,747;0,721;0,83;0,697;"GO"
"Nova Aurora";0,747;0,703;0,849;0,697;"GO"
"Brumadinho";0,747;0,761;0,857;0,639;"MG"
"Nova Bassano";0,747;0,778;0,849;0,632;"RS"
"Governador Celso Ramos";0,747;0,737;0,87;0,651;"SC"
"Ribeirão do Sul";0,747;0,753;0,818;0,676;"SP"
"Tapera";0,747;0,743;0,835;0,672;"RS"
"Charqueadas";0,747;0,726;0,87;0,659;"RS"
"Alto Alegre";0,747;0,756;0,859;0,642;"RS"
"Teutônia";0,747;0,751;0,855;0,65;"RS"
"Elisiário";0,747;0,711;0,825;0,712;"SP"
"Balneário Arroio do Silva";0,746;0,753;0,858;0,642;"SC"
"Paraíso do Norte";0,746;0,752;0,825;0,668;"PR"
"Santa Tereza";0,746;0,765;0,853;0,637;"RS"
"Nuporanga";0,746;0,73;0,866;0,656;"SP"
"Valparaíso de Goiás";0,746;0,733;0,815;0,695;"GO"
"Mato Leitão";0,746;0,721;0,853;0,676;"RS"
"Doutor Camargo";0,746;0,704;0,839;0,702;"PR"
"Getúlio Vargas";0,746;0,747;0,843;0,658;"RS"
"Urânia";0,746;0,727;0,804;0,709;"SP"
"Coqueiros do Sul";0,746;0,806;0,84;0,614;"RS"
"Muçum";0,746;0,757;0,84;0,654;"RS"
"Itambé";0,746;0,691;0,854;0,703;"PR"
"Borá";0,746;0,712;0,863;0,675;"SP"
"Cachoeiro de Itapemirim";0,746;0,733;0,837;0,677;"ES"
"Belém";0,746;0,751;0,822;0,673;"PA"
"Colatina";0,746;0,738;0,841;0,668;"ES"
"Bady Bassitt";0,746;0,737;0,805;0,701;"SP"
"Palmital";0,746;0,727;0,814;0,702;"SP"
"Bom Princípio";0,746;0,751;0,836;0,661;"RS"
"Capitão";0,746;0,747;0,842;0,661;"RS"
"Miguel Pereira";0,745;0,74;0,828;0,675;"RJ"
"Campo Largo";0,745;0,73;0,854;0,664;"PR"
"Águas Frias";0,745;0,728;0,86;0,661;"SC"
"Itanhaém";0,745;0,716;0,823;0,701;"SP"
"Campo Bom";0,745;0,755;0,852;0,643;"RS"
"Bozano";0,745;0,773;0,853;0,628;"RS"
"Iacanga";0,745;0,721;0,851;0,675;"SP"
"Rafard";0,745;0,722;0,823;0,696;"SP"
"Floraí";0,745;0,739;0,853;0,656;"PR"
"Echaporã";0,745;0,719;0,834;0,69;"SP"
"Urupês";0,745;0,741;0,817;0,683;"SP"
"Nova Friburgo";0,745;0,758;0,846;0,645;"RJ"
"Petrópolis";0,745;0,763;0,847;0,639;"RJ"
"Águas de Lindóia";0,745;0,725;0,846;0,675;"SP"
"Agudos";0,745;0,705;0,845;0,694;"SP"
"Américo de Campos";0,745;0,715;0,817;0,708;"SP"
"Mairipotaba";0,745;0,748;0,854;0,648;"GO"
"Três Ranchos";0,745;0,724;0,849;0,672;"GO"
"Junqueirópolis";0,745;0,727;0,86;0,662;"SP"
"Nova Palma";0,744;0,762;0,841;0,643;"RS"
"Torrinha";0,744;0,734;0,852;0,658;"SP"
"Uruguaiana";0,744;0,722;0,863;0,661;"RS"
"Três Corações";0,744;0,73;0,855;0,66;"MG"
"Campos de Júlio";0,744;0,8;0,825;0,625;"MT"
"Dumont";0,744;0,72;0,849;0,674;"SP"
"Sorriso";0,744;0,774;0,839;0,635;"MT"
"Itápolis";0,744;0,738;0,836;0,667;"SP"
"Pires do Rio";0,744;0,719;0,88;0,65;"GO"
"Coronel Freitas";0,744;0,732;0,86;0,653;"SC"
"Bento de Abreu";0,744;0,706;0,82;0,712;"SP"
"Leme";0,744;0,729;0,851;0,665;"SP"
"Formosa";0,744;0,726;0,852;0,666;"GO"
"Perdões";0,744;0,71;0,878;0,661;"MG"
"Barra do Jacaré";0,744;0,678;0,813;0,747;"PR"
"Paracatu";0,744;0,704;0,854;0,685;"MG"
"Santa Helena";0,744;0,738;0,823;0,678;"PR"
"Coronel Barros";0,744;0,793;0,852;0,61;"RS"
"Salete";0,744;0,737;0,803;0,695;"SC"
"Poço das Antas";0,744;0,742;0,877;0,634;"RS"
"Bicas";0,744;0,726;0,85;0,667;"MG"
"São Manuel";0,744;0,735;0,805;0,695;"SP"
"Mendonça";0,744;0,72;0,863;0,663;"SP"
"Vista Alegre do Alto";0,744;0,726;0,84;0,676;"SP"
"Três Lagoas";0,744;0,752;0,849;0,645;"MS"
"Lobato";0,744;0,708;0,841;0,692;"PR"
"Arealva";0,744;0,718;0,84;0,683;"SP"
"Rio Grande";0,744;0,752;0,861;0,637;"RS"
"Santa Cruz da Esperança";0,743;0,719;0,832;0,686;"SP"
"Nova Luzitânia";0,743;0,705;0,808;0,719;"SP"
"Imigrante";0,743;0,764;0,844;0,635;"RS"
"Jussara";0,743;0,768;0,842;0,635;"GO"
"Dois Irmãos";0,743;0,763;0,848;0,633;"RS"
"Sobradinho";0,743;0,735;0,861;0,647;"RS"
"Augusto Pestana";0,743;0,779;0,847;0,621;"RS"
"Macaubal";0,743;0,72;0,844;0,676;"SP"
"Capão da Canoa";0,743;0,756;0,852;0,637;"RS"
"Penha";0,743;0,739;0,867;0,64;"SC"
"Descanso";0,743;0,741;0,854;0,647;"SC"
"Promissão";0,743;0,724;0,85;0,666;"SP"
"Mairinque";0,743;0,721;0,831;0,684;"SP"
"Jacarezinho";0,743;0,734;0,844;0,663;"PR"
"Caxambu";0,743;0,77;0,848;0,629;"MG"
"Morro Reuter";0,743;0,733;0,858;0,653;"RS"
"Guatapará";0,743;0,724;0,822;0,688;"SP"
"Jaguariaíva";0,743;0,698;0,859;0,684;"PR"
"Lindóia do Sul";0,743;0,747;0,865;0,636;"SC"
"Mira Estrela";0,743;0,697;0,806;0,731;"SP"
"Marema";0,743;0,748;0,862;0,636;"SC"
"Matinhos";0,743;0,743;0,834;0,662;"PR"
"São Jorge do Ivaí";0,743;0,727;0,81;0,696;"PR"
"Iporá";0,743;0,731;0,84;0,667;"GO"
"Pedranópolis";0,742;0,698;0,854;0,684;"SP"
"Barro Alto";0,742;0,701;0,854;0,682;"GO"
"Itapecerica da Serra";0,742;0,699;0,852;0,687;"SP"
"Vila Flores";0,742;0,725;0,867;0,65;"RS"
"Silveira Martins";0,742;0,744;0,852;0,644;"RS"
"Cachoeira do Sul";0,742;0,739;0,854;0,648;"RS"
"Vazante";0,742;0,707;0,866;0,666;"MG"
"Lourdes";0,742;0,697;0,816;0,717;"SP"
"Irani";0,742;0,715;0,847;0,675;"SC"
"Bocaina";0,742;0,741;0,84;0,656;"SP"
"Tio Hugo";0,742;0,709;0,845;0,682;"RS"
"Lindóia";0,742;0,722;0,864;0,654;"SP"
"Nova Ramada";0,742;0,752;0,847;0,642;"RS"
"São Martinho";0,742;0,754;0,83;0,654;"SC"
"Cafelândia";0,742;0,714;0,867;0,661;"SP"
"Ascurra";0,742;0,739;0,868;0,636;"SC"
"Chapadão do Céu";0,742;0,748;0,837;0,652;"GO"
"Bom Sucesso do Sul";0,742;0,704;0,836;0,695;"PR"
"Cunha Porã";0,742;0,744;0,804;0,682;"SC"
"Mariana";0,742;0,705;0,874;0,664;"MG"
"Dolcinópolis";0,742;0,699;0,825;0,709;"SP"
"Quatro Barras";0,742;0,74;0,831;0,665;"PR"
"Campos Novos";0,742;0,721;0,861;0,658;"SC"
"Dona Emma";0,742;0,762;0,862;0,622;"SC"
"Jumirim";0,741;0,721;0,863;0,655;"SP"
"Nova Roma do Sul";0,741;0,794;0,851;0,602;"RS"
"Anhumas";0,741;0,683;0,845;0,706;"SP"
"Bambuí";0,741;0,735;0,87;0,636;"MG"
"Santos Dumont";0,741;0,688;0,847;0,697;"MG"
"Motuca";0,741;0,685;0,859;0,691;"SP"
"Carneirinho";0,741;0,749;0,873;0,622;"MG"
"Ouro Preto";0,741;0,721;0,834;0,677;"MG"
"Içara";0,741;0,732;0,861;0,645;"SC"
"Dirce Reis";0,741;0,686;0,842;0,704;"SP"
"Cachoeira da Prata";0,741;0,689;0,834;0,707;"MG"
"Agronômica";0,741;0,774;0,884;0,595;"SC"
"João Ramalho";0,741;0,701;0,818;0,71;"SP"
"Cotiporã";0,741;0,767;0,835;0,636;"RS"
"Monte Castelo";0,741;0,706;0,814;0,709;"SP"
"Guaraí";0,741;0,724;0,839;0,67;"TO"
"Pejuçara";0,741;0,724;0,867;0,648;"RS"
"Miguelópolis";0,741;0,712;0,863;0,661;"SP"
"Alfredo Marcondes";0,741;0,682;0,84;0,71;"SP"
"Teodoro Sampaio";0,741;0,699;0,856;0,679;"SP"
"São Luiz Gonzaga";0,741;0,718;0,855;0,664;"RS"
"Otacílio Costa";0,74;0,713;0,835;0,681;"SC"
"Quirinópolis";0,74;0,732;0,863;0,642;"GO"
"Brotas";0,74;0,724;0,815;0,688;"SP"
"Aramina";0,74;0,723;0,856;0,656;"SP"
"Lagoa Santa";0,74;0,733;0,868;0,638;"GO"
"Tiradentes";0,74;0,741;0,885;0,619;"MG"
"Ibirá";0,74;0,741;0,841;0,65;"SP"
"Muzambinho";0,74;0,723;0,859;0,652;"MG"
"Macedônia";0,74;0,705;0,852;0,675;"SP"
"Porto Nacional";0,74;0,699;0,826;0,701;"TO"
"Delfinópolis";0,74;0,702;0,872;0,661;"MG"
"Rifaina";0,74;0,713;0,824;0,69;"SP"
"Santópolis do Aguapeí";0,74;0,68;0,83;0,719;"SP"
"Santa Clara do Sul";0,74;0,747;0,843;0,644;"RS"
"Salvador do Sul";0,74;0,75;0,843;0,641;"RS"
"Nova Alvorada";0,74;0,763;0,838;0,634;"RS"
"Estiva Gerbi";0,74;0,716;0,815;0,695;"SP"
"Araucária";0,74;0,743;0,852;0,639;"PR"
"Chopinzinho";0,74;0,74;0,817;0,671;"PR"
"Mercedes";0,74;0,708;0,843;0,68;"PR"
"Sabáudia";0,74;0,71;0,843;0,676;"PR"
"União da Vitória";0,74;0,713;0,837;0,68;"PR"
"Benedito Novo";0,74;0,723;0,868;0,645;"SC"
"Bagé";0,74;0,739;0,848;0,647;"RS"
"Arroio do Sal";0,74;0,74;0,844;0,649;"RS"
"Anta Gorda";0,74;0,742;0,868;0,63;"RS"
"Almirante Tamandaré do Sul";0,74;0,732;0,828;0,669;"RS"
"Alegrete";0,74;0,72;0,849;0,664;"RS"
"Turvo";0,74;0,742;0,867;0,631;"SC"
"São João Batista";0,74;0,739;0,865;0,634;"SC"
"Estrela do Norte";0,74;0,693;0,818;0,714;"SP"
"São Gonçalo";0,739;0,711;0,833;0,681;"RJ"
"São Pedro da Serra";0,739;0,748;0,851;0,634;"RS"
"Catuípe";0,739;0,763;0,842;0,627;"RS"
"São Sebastião do Caí";0,739;0,734;0,852;0,646;"RS"
"Carlos Gomes";0,739;0,732;0,886;0,622;"RS"
"Taquaruçu do Sul";0,739;0,768;0,83;0,633;"RS"
"Santo Augusto";0,739;0,753;0,84;0,637;"RS"
"Ubiratã";0,739;0,706;0,854;0,669;"PR"
"Biguaçu";0,739;0,733;0,836;0,659;"SC"
"Guaiçara";0,739;0,697;0,853;0,679;"SP"
"Edéia";0,739;0,755;0,826;0,648;"GO"
"Serra";0,739;0,72;0,844;0,664;"ES"
"São José da Barra";0,739;0,722;0,876;0,637;"MG"
"Bom Retiro do Sul";0,739;0,725;0,857;0,649;"RS"
"Santa Mercedes";0,739;0,683;0,847;0,699;"SP"
"Pelotas";0,739;0,758;0,844;0,632;"RS"
"Viradouro";0,739;0,717;0,823;0,683;"SP"
"Pederneiras";0,739;0,738;0,812;0,673;"SP"
"Itanhandu";0,739;0,72;0,871;0,643;"MG"
"Ituiutaba";0,739;0,745;0,84;0,644;"MG"
"Manduri";0,739;0,73;0,818;0,675;"SP"
"Piracaia";0,739;0,758;0,851;0,625;"SP"
"Ibiaçá";0,739;0,766;0,888;0,593;"RS"
"Rolândia";0,739;0,744;0,821;0,661;"PR"
"Santo Inácio";0,739;0,746;0,843;0,641;"PR"
"Vista Alegre";0,739;0,76;0,842;0,631;"RS"
"São Leopoldo";0,739;0,766;0,861;0,612;"RS"
"Nova Granada";0,739;0,727;0,818;0,68;"SP"
"Santa Ernestina";0,738;0,716;0,802;0,699;"SP"
"Lagoa Vermelha";0,738;0,734;0,885;0,62;"RS"
"Morro da Fumaça";0,738;0,732;0,825;0,665;"SC"
"Santo Cristo";0,738;0,746;0,82;0,656;"RS"
"Dourado";0,738;0,718;0,811;0,689;"SP"
"Rio Negrinho";0,738;0,71;0,848;0,668;"SC"
"Meleiro";0,738;0,734;0,808;0,679;"SC"
"Santa Isabel";0,738;0,7;0,834;0,689;"SP"
"São João do Itaperiú";0,738;0,714;0,873;0,645;"SC"
"Cabreúva";0,738;0,717;0,828;0,678;"SP"
"Valença";0,738;0,713;0,848;0,666;"RJ"
"Ipumirim";0,738;0,747;0,853;0,631;"SC"
"Ferraz de Vasconcelos";0,738;0,691;0,828;0,703;"SP"
"Ilhota";0,738;0,75;0,883;0,607;"SC"
"Barra Velha";0,738;0,735;0,857;0,639;"SC"
"Campina das Missões";0,738;0,698;0,849;0,677;"RS"
"Santa Terezinha de Itaipu";0,738;0,716;0,814;0,689;"PR"
"Porecatu";0,738;0,728;0,834;0,661;"PR"
"Pontal do Paraná";0,738;0,737;0,831;0,655;"PR"
"Quatá";0,738;0,706;0,814;0,7;"SP"
"Mirassolândia";0,738;0,704;0,829;0,69;"SP"
"Nova Aliança";0,738;0,71;0,826;0,684;"SP"
"Itaipulândia";0,738;0,779;0,848;0,608;"PR"
"Gaurama";0,738;0,733;0,852;0,643;"RS"
"Onda Verde";0,738;0,693;0,863;0,671;"SP"
"Humaitá";0,738;0,732;0,837;0,657;"RS"
"Corbélia";0,738;0,728;0,807;0,683;"PR"
"Mesquita";0,737;0,704;0,839;0,678;"RJ"
"Tangará";0,737;0,748;0,867;0,617;"SC"
"Manaus";0,737;0,738;0,826;0,658;"AM"
"Luiz Alves";0,737;0,766;0,87;0,6;"SC"
"Braúna";0,737;0,725;0,83;0,664;"SP"
"Pindorama";0,737;0,726;0,842;0,654;"SP"
"Cubatão";0,737;0,716;0,821;0,681;"SP"
"Vargem Grande do Sul";0,737;0,721;0,863;0,643;"SP"
"Presidente Nereu";0,737;0,765;0,861;0,609;"SC"
"Parapuã";0,737;0,693;0,83;0,696;"SP"
"Palmitos";0,737;0,757;0,836;0,632;"SC"
"Santa Gertrudes";0,737;0,723;0,847;0,654;"SP"
"Uruaçu";0,737;0,74;0,86;0,628;"GO"
"Roseira";0,737;0,691;0,823;0,704;"SP"
"Guaraci";0,737;0,698;0,84;0,682;"SP"
"Cumari";0,737;0,744;0,819;0,657;"GO"
"Ibirama";0,737;0,749;0,848;0,63;"SC"
"Guarani das Missões";0,737;0,698;0,863;0,665;"RS"
"Santa Lúcia";0,737;0,696;0,818;0,703;"SP"
"Anápolis";0,737;0,737;0,822;0,66;"GO"
"Ribeirão Vermelho";0,737;0,699;0,85;0,675;"MG"
"Piumhi";0,737;0,729;0,878;0,625;"MG"
"Itatiaia";0,737;0,735;0,836;0,652;"RJ"
"Vale Real";0,737;0,739;0,85;0,636;"RS"
"Vera Cruz";0,737;0,738;0,842;0,643;"RS"
"Palmeira das Missões";0,737;0,722;0,831;0,667;"RS"
"Grão Pará";0,736;0,749;0,846;0,63;"SC"
"São Borja";0,736;0,72;0,86;0,643;"RS"
"Turmalina";0,736;0,724;0,817;0,675;"SP"
"Pereiras";0,736;0,717;0,873;0,637;"SP"
"Navegantes";0,736;0,731;0,873;0,624;"SC"
"Atalaia";0,736;0,707;0,854;0,66;"PR"
"Maracaju";0,736;0,744;0,873;0,613;"MS"
"Pariquera-Açu";0,736;0,682;0,862;0,678;"SP"
"Floresta";0,736;0,707;0,816;0,691;"PR"
"Gravataí";0,736;0,727;0,862;0,636;"RS"
"Camargo";0,736;0,762;0,854;0,612;"RS"
"Nova Itaberaba";0,736;0,753;0,876;0,605;"SC"
"São Gotardo";0,736;0,739;0,855;0,632;"MG"
"Iepê";0,736;0,7;0,814;0,7;"SP"
"Porto Velho";0,736;0,764;0,819;0,638;"RO"
"Unaí";0,736;0,723;0,847;0,651;"MG"
"Mendes";0,736;0,707;0,806;0,7;"RJ"
"Ipira";0,736;0,724;0,838;0,657;"SC"
"Sanclerlândia";0,736;0,725;0,832;0,662;"GO"
"Charqueada";0,736;0,72;0,82;0,675;"SP"
"Conchas";0,736;0,725;0,837;0,658;"SP"
"Valentim Gentil";0,735;0,708;0,81;0,692;"SP"
"Cabo Frio";0,735;0,743;0,836;0,64;"RJ"
"Buritizal";0,735;0,743;0,83;0,643;"SP"
"Itapevi";0,735;0,687;0,855;0,677;"SP"
"Bom Jesus da Penha";0,735;0,696;0,862;0,662;"MG"
"São Mateus";0,735;0,719;0,843;0,655;"ES"
"Marialva";0,735;0,733;0,814;0,666;"PR"
"Porto Rico";0,735;0,691;0,846;0,68;"PR"
"Lauro Muller";0,735;0,714;0,822;0,677;"SC"
"Caçador";0,735;0,728;0,878;0,62;"SC"
"Presidente Alves";0,735;0,711;0,811;0,689;"SP"
"Santa Branca";0,735;0,706;0,828;0,678;"SP"
"Xangri-Lá";0,735;0,74;0,852;0,63;"RS"
"Aspásia";0,735;0,699;0,864;0,657;"SP"
"Nova Independência";0,735;0,675;0,827;0,711;"SP"
"Santa Rita do Trivelato";0,735;0,738;0,852;0,632;"MT"
"Jardinópolis";0,735;0,728;0,853;0,64;"SP"
"Jaciara";0,735;0,728;0,833;0,655;"MT"
"Embu";0,735;0,7;0,839;0,676;"SP"
"Olinda";0,735;0,704;0,836;0,675;"PE"
"Nova Esperança do Sul";0,735;0,723;0,848;0,647;"RS"
"Glicério";0,735;0,735;0,858;0,63;"SP"
"Tabapuã";0,735;0,726;0,82;0,666;"SP"
"Morrinhos";0,734;0,739;0,862;0,621;"GO"
"Pontal do Araguaia";0,734;0,691;0,816;0,702;"MT"
"São Pedro de Alcântara";0,734;0,757;0,846;0,618;"SC"
"Bernardino de Campos";0,734;0,713;0,838;0,662;"SP"
"Divinolândia";0,734;0,72;0,85;0,645;"SP"
"Cristais Paulista";0,734;0,723;0,802;0,682;"SP"
"Andradas";0,734;0,731;0,878;0,617;"MG"
"Alto Feliz";0,734;0,74;0,886;0,603;"RS"
"Bom Jesus do Norte";0,734;0,689;0,854;0,673;"ES"
"Barra do Guarita";0,734;0,696;0,845;0,672;"RS"
"Sarzedo";0,734;0,706;0,871;0,643;"MG"
"Cássia dos Coqueiros";0,734;0,68;0,864;0,673;"SP"
"Rincão";0,734;0,701;0,826;0,682;"SP"
"Barroso";0,734;0,675;0,864;0,678;"MG"
"Campo Novo do Parecis";0,734;0,745;0,819;0,649;"MT"
"Cajobi";0,734;0,714;0,822;0,674;"SP"
"Cambé";0,734;0,724;0,84;0,651;"PR"
"Telêmaco Borba";0,734;0,726;0,828;0,657;"PR"
"Várzea Grande";0,734;0,711;0,842;0,661;"MT"
"Muriaé";0,734;0,731;0,853;0,634;"MG"
"Arraial do Cabo";0,733;0,722;0,805;0,677;"RJ"
"União da Serra";0,733;0,786;0,852;0,587;"RS"
"Macapá";0,733;0,723;0,82;0,663;"AP"
"Arabutã";0,733;0,744;0,863;0,614;"SC"
"Renascença";0,733;0,746;0,838;0,63;"PR"
"Barra do Piraí";0,733;0,723;0,819;0,665;"RJ"
"Taquari";0,733;0,737;0,849;0,629;"RS"
"Gentil";0,733;0,71;0,863;0,643;"RS"
"Santa Clara D'Oeste";0,733;0,712;0,804;0,687;"SP"
"Ariranha";0,733;0,73;0,813;0,663;"SP"
